date,hi1_open,hi1_high,hi1_low,hi1_close,hi1_volume_max,hi1_volume_min
20180829,28335.0,28476.0,28251.0,28470.0,1063.0,1.0
20180830,28520.0,28520.0,27786.0,27796.0,1557.0,1.0
20180831,27778.0,27882.0,27609.0,27609.0,1683.0,3.0
20180903,27650.0,27787.0,27516.0,27677.0,1701.0,2.0
20180904,27545.0,27950.0,27452.0,27616.0,2130.0,5.0
20180905,27660.0,27819.0,26941.0,27073.0,2288.0,4.0
20180906,26962.0,27224.0,26768.0,26897.0,2702.0,7.0
20180907,26800.0,27165.0,26530.0,26781.0,2335.0,1.0
20180910,26725.0,26840.0,26356.0,26549.0,2674.0,6.0
20180911,26550.0,26661.0,26020.0,26323.0,3216.0,1.0
20180912,26324.0,26741.0,26170.0,26563.0,1907.0,4.0
20180913,26563.0,27335.0,26551.0,27175.0,2662.0,4.0
20180914,27175.0,27345.0,27003.0,27192.0,2283.0,2.0
20180915,27194.0,27198.0,26938.0,26943.0,1109.0,25.0
20180917,26895.0,27032.0,26711.0,26953.0,2634.0,5.0
20180918,26954.0,27285.0,26605.0,27258.0,2378.0,4.0
20180919,27258.0,27575.0,27060.0,27561.0,2038.0,1.0
20180920,27559.0,27680.0,27294.0,27601.0,1802.0,7.0
20180921,27602.0,27982.0,27512.0,27909.0,2299.0,8.0
20180922,27910.0,27918.0,27847.0,27855.0,194.0,7.0
20180924,27797.0,27798.0,27388.0,27451.0,1385.0,1.0
20180925,27453.0,27470.0,27435.0,27446.0,134.0,4.0
20180926,27537.0,28037.0,27537.0,27857.0,1579.0,1.0
20180927,27859.0,27960.0,27628.0,27866.0,1685.0,1.0
20180928,27866.0,27935.0,27647.0,27737.0,2120.0,5.0
20180929,27736.0,27785.0,27698.0,27707.0,144.0,3.0
20181002,27760.0,27760.0,26890.0,27144.0,2089.0,6.0
20181003,27145.0,27252.0,26871.0,27082.0,1862.0,1.0
20181004,27083.0,27100.0,26330.0,26379.0,3144.0,5.0
20181005,26380.0,26619.0,26243.0,26280.0,2085.0,3.0
20181006,26283.0,26336.0,26264.0,26303.0,141.0,12.0
20181008,26476.0,26771.0,25971.0,26016.0,2243.0,8.0
20181009,26017.0,26342.0,25948.0,26141.0,2072.0,2.0
20181010,26141.0,26470.0,25784.0,25832.0,2811.0,4.0
20181011,25831.0,25862.0,25080.0,25349.0,3664.0,16.0
20181012,25348.0,25788.0,25263.0,25643.0,1846.0,9.0
20181013,25644.0,25649.0,25484.0,25572.0,188.0,22.0
20181015,25540.0,25649.0,25330.0,25460.0,1818.0,11.0
20181016,25454.0,25698.0,25208.0,25693.0,2065.0,5.0
20181017,25695.0,25775.0,25668.0,25772.0,417.0,22.0
20181018,25677.0,25690.0,25084.0,25102.0,2301.0,7.0
20181019,25100.0,25723.0,25046.0,25505.0,2537.0,14.0
20181020,25505.0,25514.0,25382.0,25468.0,226.0,28.0
20181022,25490.0,26222.0,25487.0,25962.0,3022.0,6.0
20181023,25963.0,26005.0,25050.0,25116.0,2876.0,7.0
20181024,25114.0,25654.0,25038.0,25169.0,2869.0,10.0
20181025,25169.0,25205.0,24601.0,25091.0,2601.0,10.0
20181026,25093.0,25146.0,24457.0,24693.0,2261.0,12.0
20181027,24691.0,24908.0,24691.0,24848.0,383.0,32.0
20181029,24858.0,25041.0,24582.0,24883.0,1614.0,5.0
20181030,24882.0,24962.0,24474.0,24602.0,2344.0,14.0
20181031,24600.0,25028.0,24560.0,24991.0,1937.0,1.0
20181101,24989.0,25779.0,24915.0,25723.0,3467.0,11.0
20181102,25722.0,26758.0,25696.0,26169.0,3789.0,20.0
20181103,26168.0,26180.0,25841.0,25867.0,548.0,39.0
20181105,26014.0,26139.0,25720.0,26041.0,2718.0,4.0
20181106,26040.0,26166.0,25799.0,26040.0,2061.0,7.0
20181107,26041.0,26524.0,25861.0,26303.0,2222.0,7.0
20181108,26305.0,26614.0,26054.0,26142.0,2164.0,11.0
20181109,26141.0,26161.0,25312.0,25409.0,2483.0,10.0
20181110,25408.0,25442.0,25330.0,25331.0,367.0,26.0
20181112,25450.0,25753.0,25255.0,25261.0,2470.0,6.0
20181113,25263.0,25914.0,25006.0,25823.0,3331.0,12.0
20181114,25821.0,26012.0,25430.0,25795.0,2315.0,14.0
20181115,25795.0,26136.0,25555.0,25853.0,2351.0,9.0
20181116,25850.0,26239.0,25790.0,26155.0,2227.0,7.0
20181117,26157.0,26185.0,26103.0,26128.0,207.0,18.0
20181119,26082.0,26378.0,26065.0,26131.0,2390.0,6.0
20181120,26128.0,26155.0,25439.0,25617.0,2306.0,0.0
20181121,25615.0,26161.0,25414.0,26118.0,2268.0,15.0
20181122,26118.0,26204.0,25810.0,25848.0,1967.0,3.0
20181123,25848.0,26036.0,25755.0,25875.0,2302.0,5.0
20181124,25876.0,25915.0,25850.0,25864.0,133.0,13.0
20181126,25990.0,26512.0,25979.0,26469.0,2854.0,4.0
20181127,26469.0,26471.0,26138.0,26331.0,1845.0,5.0
20181128,26330.0,26722.0,26291.0,26567.0,1636.0,2.0
20181129,26566.0,26953.0,26321.0,26444.0,1995.0,2.0
20181130,26445.0,26730.0,26417.0,26525.0,2238.0,4.0
20181201,26520.0,26600.0,26466.0,26572.0,298.0,17.0
20181203,27138.0,27329.0,27028.0,27166.0,3115.0,7.0
20181204,27168.0,27297.0,27041.0,27156.0,2396.0,5.0
20181205,27158.0,27188.0,26724.0,26832.0,2117.0,2.0
20181206,26832.0,26838.0,25912.0,25937.0,4384.0,1.0
20181207,25935.0,26369.0,25814.0,26194.0,2040.0,5.0
20181208,26193.0,26215.0,26062.0,26100.0,260.0,17.0
20181210,25768.0,25834.0,25523.0,25538.0,2271.0,6.0
20181211,25538.0,26047.0,25403.0,25979.0,1845.0,1.0
20181212,25979.0,26479.0,25859.0,26467.0,1970.0,7.0
20181213,26469.0,26626.0,26312.0,26404.0,1661.0,6.0
20181214,26404.0,26462.0,25920.0,26131.0,1937.0,5.0
20181215,26128.0,26225.0,26125.0,26169.0,421.0,17.0
20181217,26175.0,26231.0,25891.0,26047.0,1606.0,5.0
20181218,26048.0,26193.0,25700.0,25923.0,3116.0,4.0
20181219,25924.0,26086.0,25802.0,26046.0,1682.0,5.0
20181220,26045.0,26094.0,25374.0,25655.0,2840.0,10.0
20181221,25654.0,25806.0,25307.0,25663.0,1495.0,11.0
20181222,25662.0,25714.0,25559.0,25650.0,360.0,17.0
20181224,25500.0,25658.0,25400.0,25626.0,1542.0,15.0
20181227,25880.0,25940.0,25216.0,25239.0,1379.0,5.0
20181228,25240.0,25750.0,25223.0,25623.0,1593.0,5.0
20181229,25624.0,25662.0,25590.0,25641.0,170.0,24.0
20181231,25868.0,26000.0,25710.0,25854.0,1163.0,29.0
20190102,25856.0,25868.0,24975.0,25258.0,4849.0,1.0
20190103,25256.0,25363.0,24876.0,25049.0,2144.0,4.0
20190104,25050.0,25965.0,24893.0,25962.0,1779.0,8.0
20190105,25961.0,25981.0,25854.0,25949.0,246.0,27.0
20190107,26020.0,26098.0,25734.0,25841.0,2596.0,4.0
20190108,25836.0,26181.0,25713.0,26037.0,1828.0,3.0
20190109,26037.0,26652.0,26024.0,26528.0,1992.0,5.0
20190110,26530.0,26649.0,26228.0,26647.0,2848.0,4.0
20190111,26649.0,26746.0,26512.0,26671.0,2095.0,2.0
20190112,26671.0,26683.0,26642.0,26655.0,119.0,15.0
20190114,26595.0,26617.0,26164.0,26423.0,1900.0,0.0
20190115,26423.0,26874.0,26367.0,26713.0,2330.0,5.0
20190116,26711.0,26975.0,26559.0,26962.0,2374.0,7.0
20190117,26964.0,27041.0,26666.0,26886.0,2329.0,4.0
20190118,26887.0,27321.0,26880.0,27298.0,2761.0,1.0
20190119,27296.0,27361.0,27269.0,27361.0,273.0,10.0
20190121,27235.0,27348.0,27013.0,27217.0,2736.0,3.0
20190122,27219.0,27271.0,26835.0,26935.0,1994.0,3.0
20190123,26936.0,27164.0,26875.0,27053.0,2707.0,9.0
20190124,27053.0,27225.0,26872.0,27205.0,2406.0,1.0
20190125,27205.0,27770.0,27174.0,27765.0,3173.0,4.0
20190126,27764.0,27800.0,27727.0,27789.0,207.0,14.0
20190128,27700.0,27814.0,27362.0,27442.0,2106.0,2.0
20190129,27440.0,27666.0,27325.0,27580.0,1934.0,1.0
20190130,27577.0,27743.0,27341.0,27653.0,1965.0,2.0
20190131,27658.0,28107.0,27641.0,28057.0,2547.0,4.0
20190201,28057.0,28200.0,27726.0,27856.0,3509.0,1.0
20190202,27854.0,27934.0,27832.0,27920.0,200.0,10.0
20190204,27910.0,27950.0,27781.0,27826.0,1271.0,23.0
20190208,27662.0,28026.0,27450.0,27811.0,2956.0,3.0
20190209,27812.0,27830.0,27758.0,27827.0,160.0,11.0
20190211,27911.0,28220.0,27759.0,28140.0,1504.0,2.0
20190212,28140.0,28191.0,27916.0,28139.0,1778.0,0.0
20190213,28142.0,28509.0,28102.0,28434.0,2318.0,2.0
20190214,28436.0,28447.0,28107.0,28202.0,1776.0,1.0
20190215,28206.0,28233.0,27781.0,28149.0,2101.0,5.0
20190216,28149.0,28171.0,28108.0,28120.0,159.0,16.0
20190218,28210.0,28384.0,28127.0,28324.0,2318.0,1.0
20190219,28324.0,28448.0,28038.0,28202.0,1738.0,1.0
20190220,28204.0,28647.0,28204.0,28614.0,2064.0,2.0
20190221,28616.0,28799.0,28363.0,28491.0,2550.0,4.0
20190222,28489.0,28892.0,28417.0,28857.0,2092.0,0.0
20190223,28859.0,28881.0,28845.0,28872.0,102.0,10.0
20190225,28936.0,29111.0,28740.0,29101.0,2255.0,1.0
20190226,29100.0,29114.0,28685.0,28795.0,1500.0,2.0
20190227,28792.0,29038.0,28680.0,28725.0,3011.0,3.0
20190228,28726.0,28913.0,28563.0,28621.0,2387.0,3.0
20190301,28622.0,28840.0,28609.0,28742.0,3948.0,3.0
20190302,28744.0,28748.0,28642.0,28663.0,204.0,19.0
20190304,28870.0,29255.0,28723.0,28822.0,2045.0,2.0
20190305,28823.0,28989.0,28617.0,28932.0,2658.0,2.0
20190306,28933.0,29093.0,28868.0,29036.0,2334.0,1.0
20190307,29036.0,29057.0,28485.0,28526.0,3414.0,4.0
20190308,28525.0,28576.0,28016.0,28119.0,2855.0,5.0
20190309,28119.0,28188.0,28100.0,28114.0,170.0,8.0
20190311,28089.0,28711.0,28089.0,28686.0,2230.0,2.0
20190312,28685.0,28990.0,28643.0,28945.0,2296.0,8.0
20190313,28947.0,28997.0,28710.0,28958.0,1999.0,4.0
20190314,28959.0,28969.0,28675.0,28810.0,2737.0,0.0
20190315,28812.0,29250.0,28791.0,29163.0,3410.0,1.0
20190316,29161.0,29202.0,29153.0,29166.0,232.0,15.0
20190318,29135.0,29492.0,29062.0,29388.0,2929.0,5.0
20190319,29390.0,29630.0,29335.0,29595.0,2086.0,1.0
20190320,29598.0,29619.0,29226.0,29234.0,2676.0,2.0
20190321,29233.0,29477.0,28927.0,29185.0,2194.0,2.0
20190322,29184.0,29270.0,28652.0,28653.0,2356.0,6.0
20190323,28653.0,28704.0,28629.0,28671.0,209.0,34.0
20190325,28508.0,28683.0,28422.0,28605.0,1936.0,5.0
20190326,28607.0,28755.0,28410.0,28634.0,2996.0,1.0
20190327,28638.0,28789.0,28532.0,28548.0,1289.0,3.0
20190328,28548.0,28871.0,28536.0,28779.0,1802.0,5.0
20190329,28773.0,29194.0,28736.0,29151.0,1727.0,1.0
20190330,29152.0,29196.0,29130.0,29196.0,167.0,11.0
20190401,29460.0,29681.0,29415.0,29657.0,2780.0,7.0
20190402,29655.0,29788.0,29583.0,29702.0,2600.0,4.0
20190403,29702.0,30130.0,29681.0,30122.0,2998.0,3.0
20190404,30121.0,30131.0,29810.0,30085.0,2017.0,6.0
20190405,30086.0,30117.0,30050.0,30106.0,387.0,19.0
20190408,30155.0,30220.0,29965.0,30152.0,2207.0,3.0
20190409,30154.0,30295.0,30071.0,30107.0,2300.0,1.0
20190410,30105.0,30192.0,29944.0,30101.0,2465.0,1.0
20190411,30102.0,30225.0,29795.0,29837.0,3425.0,1.0
20190412,29837.0,30216.0,29706.0,30129.0,2768.0,3.0
20190413,30127.0,30165.0,30123.0,30162.0,145.0,3.0
20190415,30158.0,30336.0,29684.0,29732.0,3081.0,3.0
20190416,29734.0,30189.0,29691.0,30127.0,2510.0,4.0
20190417,30126.0,30235.0,30008.0,30065.0,5274.0,0.0
20190418,30063.0,30112.0,29882.0,30081.0,5196.0,2.0
20190419,30081.0,30109.0,30070.0,30094.0,492.0,10.0
20190423,29919.0,30072.0,29742.0,30051.0,4080.0,2.0
20190424,30050.0,30129.0,29650.0,29688.0,5908.0,4.0
20190425,29689.0,29843.0,29412.0,29531.0,3398.0,8.0
20190426,29531.0,29722.0,29447.0,29694.0,3452.0,0.0
20190427,29693.0,29716.0,29691.0,29700.0,216.0,2.0
20190429,29511.0,29720.0,29418.0,29636.0,6834.0,2.0
20190430,29638.0,29681.0,29368.0,29492.0,6220.0,2.0
20190501,29493.0,29516.0,29470.0,29478.0,160.0,8.0
20190502,29405.0,29737.0,29391.0,29506.0,4468.0,10.0
20190503,29505.0,30047.0,29412.0,30020.0,2435.0,2.0
20190504,30019.0,30036.0,30007.0,30020.0,145.0,2.0
20190506,29285.0,29287.0,28687.0,29143.0,3262.0,3.0
20190507,29146.0,29242.0,28655.0,28682.0,2405.0,8.0
20190508,28678.0,28979.0,28520.0,28616.0,1833.0,8.0
20190509,28615.0,28662.0,27754.0,27882.0,2543.0,1.0
20190510,27883.0,28588.0,27852.0,27998.0,2677.0,7.0
20190511,28001.0,28195.0,28001.0,28191.0,287.0,14.0
20190514,27631.0,27977.0,27602.0,27951.0,2638.0,11.0
20190515,27950.0,28169.0,27825.0,28007.0,2321.0,2.0
20190516,28011.0,28317.0,27791.0,28278.0,2181.0,6.0
20190517,28278.0,28288.0,27620.0,27744.0,2165.0,5.0
20190518,27740.0,27767.0,27706.0,27753.0,179.0,4.0
20190520,27831.0,27850.0,27333.0,27449.0,2196.0,4.0
20190521,27445.0,27828.0,27400.0,27521.0,2221.0,1.0
20190522,27521.0,27718.0,27462.0,27533.0,2073.0,5.0
20190523,27533.0,27541.0,27120.0,27201.0,2586.0,3.0
20190524,27203.0,27438.0,27168.0,27202.0,1874.0,1.0
20190525,27206.0,27243.0,27164.0,27235.0,241.0,7.0
20190527,27286.0,27353.0,27068.0,27226.0,2538.0,24.0
20190528,27236.0,27449.0,27178.0,27357.0,2139.0,3.0
20190529,27355.0,27400.0,27139.0,27203.0,1856.0,0.0
20190530,27201.0,27249.0,26849.0,26974.0,2697.0,4.0
20190531,26976.0,27033.0,26615.0,26740.0,1917.0,2.0
20190601,26739.0,26746.0,26712.0,26720.0,147.0,4.0
20190603,26764.0,26878.0,26578.0,26820.0,2445.0,3.0
20190604,26819.0,26886.0,26505.0,26845.0,2388.0,3.0
20190605,26846.0,27004.0,26663.0,26711.0,2509.0,4.0
20190606,26709.0,26879.0,26676.0,26808.0,1772.0,2.0
20190607,26805.0,26820.0,26791.0,26808.0,71.0,3.0
20190610,27125.0,27605.0,27016.0,27599.0,3162.0,2.0
20190611,27599.0,27770.0,27486.0,27659.0,1880.0,2.0
20190612,27663.0,27665.0,26993.0,26997.0,2585.0,3.0
20190613,26997.0,27243.0,26702.0,27070.0,2149.0,2.0
20190614,27070.0,27168.0,26919.0,26932.0,2106.0,2.0
20190615,26928.0,26939.0,26907.0,26939.0,145.0,3.0
20190617,27010.0,27446.0,26995.0,27152.0,3109.0,2.0
20190618,27153.0,28000.0,27106.0,27883.0,2119.0,1.0
20190619,27884.0,28197.0,27864.0,28123.0,2701.0,2.0
20190620,28121.0,28688.0,28093.0,28534.0,1842.0,1.0
20190621,28535.0,28554.0,28298.0,28417.0,2629.0,2.0
20190622,28414.0,28425.0,28377.0,28423.0,232.0,1.0
20190624,28350.0,28605.0,28314.0,28435.0,2062.0,1.0
20190625,28436.0,28489.0,28079.0,28178.0,1950.0,0.0
20190626,28176.0,28412.0,27989.0,28376.0,1678.0,1.0
20190627,28379.0,28604.0,28255.0,28477.0,2483.0,1.0
20190628,28483.0,28571.0,28367.0,28510.0,1829.0,1.0
20190629,28512.0,28531.0,28487.0,28487.0,74.0,1.0
20190702,28911.0,29054.0,28784.0,28952.0,2995.0,2.0
20190703,28949.0,28958.0,28766.0,28940.0,2518.0,1.0
20190704,28940.0,29080.0,28828.0,28852.0,3020.0,1.0
20190705,28853.0,28962.0,28541.0,28633.0,2159.0,1.0
20190706,28633.0,28705.0,28616.0,28705.0,95.0,1.0
20190708,28623.0,28641.0,28213.0,28408.0,3254.0,2.0
20190709,28412.0,28414.0,28087.0,28215.0,2527.0,1.0
20190710,28215.0,28455.0,28138.0,28354.0,2598.0,1.0
20190711,28355.0,28614.0,28304.0,28371.0,3135.0,1.0
20190712,28372.0,28609.0,28289.0,28435.0,2315.0,1.0
20190713,28434.0,28496.0,28431.0,28472.0,138.0,1.0
20190715,28358.0,28598.0,28052.0,28526.0,3301.0,1.0
20190716,28528.0,28661.0,28474.0,28547.0,2514.0,1.0
20190717,28546.0,28647.0,28358.0,28518.0,2856.0,1.0
20190718,28518.0,28527.0,28311.0,28410.0,2622.0,1.0
20190719,28413.0,28841.0,28410.0,28700.0,3070.0,1.0
20190720,28701.0,28753.0,28646.0,28670.0,280.0,2.0
20190722,28615.0,28693.0,28281.0,28396.0,3628.0,2.0
20190723,28399.0,28536.0,28290.0,28468.0,2335.0,1.0
20190724,28468.0,28774.0,28441.0,28533.0,3165.0,1.0
20190725,28535.0,28663.0,28357.0,28391.0,1982.0,1.0
20190726,28394.0,28480.0,28311.0,28356.0,2460.0,1.0
20190727,28358.0,28386.0,28353.0,28367.0,127.0,1.0
20190729,28265.0,28320.0,27937.0,28119.0,2414.0,1.0
20190730,28119.0,28226.0,28033.0,28124.0,2158.0,0.0
20190801,27525.0,27685.0,27401.0,27616.0,2601.0,3.0
20190802,27618.0,27660.0,26561.0,26630.0,2423.0,4.0
20190803,26634.0,26667.0,26535.0,26602.0,457.0,1.0
20190805,26430.0,26576.0,25547.0,25615.0,2814.0,5.0
20190806,25612.0,26085.0,25219.0,25819.0,2849.0,6.0
20190807,25821.0,26001.0,25595.0,25761.0,2257.0,4.0
20190808,25765.0,26246.0,25748.0,26127.0,2877.0,3.0
20190809,26128.0,26206.0,25645.0,25700.0,1848.0,3.0
20190810,25698.0,25892.0,25682.0,25842.0,305.0,2.0
20190812,25728.0,26011.0,25213.0,25346.0,2227.0,9.0
20190813,25345.0,25905.0,25053.0,25646.0,1923.0,1.0
20190814,25647.0,25682.0,24830.0,24869.0,2709.0,2.0
20190815,24866.0,25486.0,24791.0,25311.0,2409.0,3.0
20190816,25309.0,25733.0,25231.0,25649.0,2106.0,5.0
20190817,25650.0,25697.0,25630.0,25683.0,128.0,1.0
20190819,25921.0,26380.0,25838.0,26142.0,2752.0,10.0
20190820,26142.0,26285.0,26034.0,26118.0,2038.0,1.0
20190821,26120.0,26305.0,26014.0,26277.0,1904.0,1.0
20190822,26277.0,26288.0,25810.0,25895.0,2857.0,1.0
20190823,25894.0,26187.0,25522.0,25522.0,2486.0,1.0
20190824,25522.0,25582.0,25445.0,25480.0,618.0,4.0
20190826,25350.0,25878.0,25156.0,25674.0,2314.0,1.0
20190827,25673.0,25864.0,25533.0,25726.0,2036.0,1.0
20190828,25727.0,25855.0,25510.0,25663.0,1264.0,1.0
20190829,25661.0,25840.0,25264.0,25798.0,2576.0,1.0
20190830,25798.0,25935.0,25412.0,25524.0,2417.0,1.0
20190831,25524.0,25542.0,25479.0,25523.0,143.0,2.0
20190902,25421.0,25582.0,25353.0,25414.0,2537.0,2.0
20190903,25414.0,25663.0,25313.0,25529.0,2576.0,1.0
20190904,25528.0,26634.0,25472.0,26349.0,5794.0,1.0
20190905,26347.0,26683.0,26324.0,26438.0,2270.0,1.0
20190906,26712.0,26799.0,26489.0,26667.0,2870.0,7.0
20190907,26666.0,26674.0,26607.0,26642.0,138.0,1.0
20190909,26693.0,26795.0,26585.0,26738.0,2152.0,1.0
20190910,26739.0,26890.0,26604.0,26832.0,1950.0,1.0
20190911,26833.0,27169.0,26675.0,27153.0,4111.0,1.0
20190912,27153.0,27335.0,26940.0,27135.0,2314.0,1.0
20190913,27133.0,27394.0,27086.0,27333.0,1688.0,1.0
20190914,27333.0,27358.0,27318.0,27351.0,103.0,1.0
20190916,27188.0,27211.0,26959.0,27009.0,3008.0,1.0
20190917,27008.0,27040.0,26676.0,26827.0,2177.0,1.0
20190918,26830.0,26910.0,26710.0,26736.0,1383.0,1.0
20190919,26735.0,26831.0,26345.0,26587.0,2700.0,1.0
20190920,26586.0,26600.0,26374.0,26401.0,1374.0,1.0
20190921,26402.0,26419.0,26218.0,26314.0,797.0,2.0
20190923,26400.0,26524.0,26119.0,26246.0,2407.0,2.0
20190924,26246.0,26431.0,26135.0,26159.0,1749.0,1.0
20190925,26156.0,26240.0,25850.0,25977.0,3902.0,0.0
20190926,25980.0,26107.0,25905.0,25933.0,1549.0,0.0
20190927,25933.0,26044.0,25756.0,25845.0,2318.0,1.0
20190928,25845.0,25877.0,25656.0,25669.0,325.0,3.0
20190930,25833.0,26158.0,25767.0,26037.0,2492.0,1.0
20191001,26040.0,26057.0,25983.0,25983.0,98.0,1.0
20191002,25835.0,26087.0,25719.0,25772.0,2450.0,3.0
20191003,25774.0,26220.0,25673.0,26079.0,2931.0,1.0
20191004,26079.0,26175.0,25566.0,25712.0,3324.0,1.0
20191005,25711.0,25846.0,25697.0,25839.0,153.0,2.0
20191008,25880.0,26202.0,25621.0,25670.0,1965.0,6.0
20191009,25670.0,25869.0,25634.0,25773.0,2222.0,1.0
20191010,25773.0,25988.0,25507.0,25963.0,3206.0,1.0
20191011,25962.0,26677.0,25832.0,26527.0,2287.0,1.0
20191012,26527.0,26640.0,26450.0,26608.0,1117.0,1.0
20191014,26540.0,26662.0,26373.0,26481.0,2234.0,1.0
20191015,26480.0,26721.0,26433.0,26622.0,1552.0,1.0
20191016,26623.0,26760.0,26383.0,26743.0,3302.0,0.0
20191017,26741.0,27016.0,26681.0,26871.0,2284.0,1.0
20191018,26871.0,27015.0,26657.0,26684.0,1967.0,1.0
